data,id_loja,id_produto,categoria,regiao,nivel_estoque,unid_vendidas,unid_pedidas,preco,desconto,condicao_climatica,promocao,preco_concorrente,sazonalidade,epidemia,demanda
2022-01-01,S001,P0001,Eletronicos,Norte,195,102,252,72.72,5,Nevada,0,85.73,Inverno,0,115
2022-01-01,S001,P0002,Roupas,Norte,117,117,249,80.16,15,Nevada,1,92.02,Inverno,0,229
2022-01-01,S001,P0003,Roupas,Norte,247,114,612,62.94,10,Nevada,1,60.08,Inverno,0,157
2022-01-01,S001,P0004,Eletronicos,Norte,139,45,102,87.63,10,Nevada,0,85.19,Inverno,0,52
2022-01-01,S001,P0005,Alimentos,Norte,152,65,271,54.41,0,Nevada,0,51.63,Inverno,0,59
2022-01-01,S001,P0006,Brinquedos,Norte,209,60,0,35.53,0,Nevada,0,40.01,Inverno,0,55
2022-01-01,S001,P0007,Alimentos,Norte,118,81,335,23.27,5,Nevada,0,24.78,Inverno,0,94
2022-01-01,S001,P0008,Eletronicos,Norte,244,42,0,37.79,5,Nevada,0,44.85,Inverno,0,61
2022-01-01,S001,P0009,Roupas,Norte,115,88,139,94.2,5,Nevada,0,108.7,Inverno,0,129
2022-01-01,S001,P0010,Moveis,Norte,192,70,300,113.35,10,Nevada,0,129.98,Inverno,0,69
2022-01-01,S001,P0011,Moveis,Norte,215,51,142,156.34,0,Nevada,0,188.96,Inverno,0,64
2022-01-01,S001,P0012,Alimentos,Norte,289,121,215,84.48,0,Nevada,0,92.02,Inverno,0,104
2022-01-01,S001,P0013,Brinquedos,Norte,279,113,0,33.1,5,Nevada,0,39.11,Inverno,0,110
2022-01-01,S001,P0014,Alimentos,Norte,252,121,479,80.13,10,Nevada,1,92.24,Inverno,0,165
2022-01-01,S001,P0015,Brinquedos,Norte,119,55,74,14.39,5,Nevada,0,13.59,Inverno,0,64
2022-01-01,S001,P0016,Alimentos,Norte,103,78,372,38.79,10,Nevada,0,35.14,Inverno,0,115
2022-01-01,S001,P0017,Brinquedos,Norte,128,59,0,21.21,0,Nevada,0,22.73,Inverno,0,75
2022-01-01,S001,P0018,Alimentos,Norte,281,78,0,54.4,5,Nevada,0,54.1,Inverno,0,66
2022-01-01,S001,P0019,Moveis,Norte,281,61,0,95.56,10,Nevada,0,103.05,Inverno,0,58
2022-01-01,S001,P0020,Moveis,Norte,266,36,0,100.47,5,Nevada,0,115.24,Inverno,0,43
2022-01-01,S002,P0001,Alimentos,Sul,102,102,331,90.89,0,Nublado,0,81.87,Inverno,0,118
2022-01-01,S002,P0002,Brinquedos,Sul,193,119,192,25.68,25,Nublado,1,30.95,Inverno,0,105
2022-01-01,S002,P0003,Alimentos,Sul,187,167,596,95.17,10,Nublado,1,84.24,Inverno,0,171
2022-01-01,S002,P0004,Alimentos,Sul,160,111,339,39.54,10,Nublado,0,46.57,Inverno,0,110
2022-01-01,S002,P0005,Eletronicos,Sul,155,103,334,92.35,0,Nublado,0,104.72,Inverno,0,94
